twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0136,Charlottegshore,278103138,officialcharlottecrosby.com,Charlotte Crosby,2833103,36586
ID0137,CHAYANNEMUSIC,29749448,chayanne.com,CHAYANNE,9277212,4976
ID0138,chelseahandler,19877186,chelseahandler.com,Chelsea Handler,7843554,13064
ID0139,cher,124003770,cher.com,Cher,4014995,35651
ID0140,CherLloyd,209994211,,Cher Lloyd,6514727,6507
ID0141,CherylOfficial,262881419,,Cheryl,5645359,7390
ID0142,chetan_bhagat,44588485,chetanbhagat.com,Chetan Bhagat,12616681,16546
ID0143,CH14_,618420295,,Chicharito Hernandez,8856736,2490
ID0144,ChinoyNacho,70162012,chinoynacho.com.ve,Chino y Nacho,4520513,20508
ID0145,chrisbrown,119509520,chrisbrownworld.com,Chino Y Nacho,32067941,4614
ID0146,chriscolfer,32985158,thelandofstories.com,Chris Colfer,2148744,4376
ID0147,ChrisEvans,580097412,,Chris Evans,15548144,2034
ID0148,henrygayle,45452226,,Chris Gayle,4895316,15009
ID0149,hardwick,15666380,,Chris Hardwick,2467419,40372
ID0150,IAmJericho,44527648,chris-jericho.org,Chris Jericho,3610874,70726
ID0151,ChrisMoyles,19982092,youtube.com,Chris Moyles,3515659,14491
ID0152,CP3,53853197,chrispaul3.com,Chris Paul,8436121,6545
ID0153,prattprattpratt,241382835,,Chris Pratt,8079629,4044
ID0154,chrisrock,238319766,chrisrock.com,Chris Rock,5538550,2611
ID0155,xtianbautista,25954814,christianbautistaonline.com,Christian Bautista,3344427,26552
ID0156,xtina,268439864,christinaaguilera.com,Christina Aguilera,16703319,2946
ID0157,ciara,28897926,smarturl.it,Ciara,11677455,12083
ID0158,ClaudiaLeitte,48332360,claudialeitte.com,Claudia Leitte,14580269,59518
ID0159,CMPunk,177345928,cmpunk.com,Coach,2729270,21056
ID0160,CodySimpson,79650494,radi.al,Cody Simpson,6794646,34069
ID0161,coldplay,18863815,coldplay.com,Coldplay,23602653,9112
ID0162,common,17169320,thinkcommon.com,COMMON,5412046,15186
ID0163,ConanOBrien,115485051,teamcoco.com,Conan O'Brien,28563756,5124
ID0164,corbuzier,48823885,youtu.be,Corbuzier,4293284,17171
ID0165,CraigyFerg,112508240,,Craig Ferguson,2615050,2933
ID0166,10neto,66458391,craqueneto10.com.br,Craque Neto 10,3780290,15831
ID1527,Cristiano,155659213,,Cristiano Ronaldo,99274403,3780
ID0168,_CristineReyes_,1.36883E+18,,Cristine Reyes,3,0
ID0169,cuneytozdemir,30631061,dipnot.tv,Cüneyt Ozdemir,7285927,41427
ID0170,MonsieurDream,6661522,cyprien.fr,Cyprien,8654605,17122
ID0171,Cyrilhanouna,378632690,teamhanouna.com,Cyril Hanouna,6000961,14396
ID0172,markhoppus,21955058,himynameismark.com,Dadcula,2715222,3178
ID0173,daddy_yankee,36483808,youtu.be,Daddy Yankee,15224432,22985
ID0174,AllRiseSilver,145548166,,Dalnim,2828234,1424
ID0175,danawhite,21586418,ufc.com,Dana White,5884913,39291
ID0176,DaneCook,20978103,,Dane Cook,2765084,19313
