youtubeid,Country,Channel_Name,Category,username,followers,Likes,Views,Views_Avg,Comments_Avg
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID236,GB,Ed Sheeran,Hip hop music,Ed Sheeran,52100000,97976609.8,27642363836,17368940.5,9184.475
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1045,US,El Reino Infantil,Entertainment,El Reino Infantil,50900000,11453139.1,49013318189,2628394.493,8.461165049
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
